Version,Event name,Date + hour (YYYYMMDDHH),Event count,Total users,Event count per active user,Average engagement time per session,Average session duration,Event value,Scrolled users,Bounce rate,Views,Engagement rate
a,page_view,2025041917,2,2,1,0,0,0,0,1,2,0
a,page_view,2025041921,2,2,1,0,0,0,0,1,2,0
a,page_view,2025042223,2,1,2,0,294.02408,0,0,0,2,1
a,scroll,2025041908,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041909,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041912,2,1,2,8,42.889888,0,1,0,0,1
a,scroll,2025041922,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042004,0,0,0,0,0,0,0,0,0,0
a,session_start,2025041917,2,2,1,0,0,0,0,1,0,0
a,session_start,2025042004,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042014,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025041910,1,1,1,6,203.125743,0,0,0,0,1
a,user_engagement,2025041911,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025041922,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025042004,1,1,1,6,6.126992,0,0,0,0,1
a,user_engagement,2025042205,2,1,2,1,0.000559,0,0,0,0,1
a,click,2025042002,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025041913,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025041917,1,1,1,0,0,0,0,1,0,0
a,first_visit,2025041920,1,1,1,0,0,0,0,0,0,1
a,first_visit,2025042018,1,1,1,0,0,0,0,0,0,1
a,first_visit,2025042119,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025042221,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025042223,1,1,1,0,0,0,0,0,0,1
a,page_view,2025041913,0,0,0,0,0,0,0,0,0,0
a,page_view,2025041920,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042014,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042015,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042016,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042018,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042019,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042023,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042110,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042119,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042201,1,1,0,0,0,0,0,1,1,0
a,page_view,2025042205,1,1,1,0,13.112165,0,0,0,1,1
a,page_view,2025042221,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041910,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041911,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041913,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041916,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041919,1,1,1,7,23.016354,0,1,0,0,1
a,scroll,2025042002,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042019,1,1,1,39,71.582078,0,1,0,0,1
a,scroll,2025042121,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042200,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042205,1,1,1,50,605.908033,0,1,0,0,1
a,session_start,2025041913,0,0,0,0,0,0,0,0,0,0
a,session_start,2025041920,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042015,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042016,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042018,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042019,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042023,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042110,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042119,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042201,1,1,0,0,0,0,0,1,0,0
a,session_start,2025042205,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042221,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042223,1,1,1,0,0,0,0,0,0,1
a,submit_feedback,2025041914,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025041913,1,1,1,17,296.010219,0,0,0,0,1
a,user_engagement,2025041917,1,1,1,4,4.054639,0,0,1,0,0
a,user_engagement,2025041920,1,1,1,231,242.545214,0,0,0,0,1
a,user_engagement,2025041921,1,1,1,0,0,0,0,1,0,0
a,user_engagement,2025042014,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025042016,1,1,1,1,11.576863,0,0,0,0,1
a,user_engagement,2025042018,1,1,1,12,43.510891,0,0,0,0,1
a,user_engagement,2025042019,1,1,1,7,2.633862,0,0,0,0,1
a,user_engagement,2025042023,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025042221,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041914,23,11,2.090909091,0,31.24977409,0,0,0.454545455,23,0.545454545
b,page_view,2025041915,24,12,2,0,34.58851838,0,0,0.230769231,24,0.769230769
b,user_engagement,2025041915,25,11,2.272727273,61.33333333,166.1367628,0,0,0.166666667,0,0.833333333
b,submit_feedback,2025041912,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041907,9,6,1.5,0,12.00962017,0,0,0.5,9,0.5
b,user_engagement,2025041914,12,6,2,13.66666667,188.797827,0,0,0.166666667,0,0.833333333
b,user_engagement,2025041907,6,3,2,4.333333333,5.370494333,0,0,0,0,1
b,session_start,2025041915,12,12,1,0,0,0,0,0.25,0,0.75
b,first_visit,2025041915,11,11,1,0,0,0,0,0.272727273,0,0.727272727
b,page_view,2025041908,8,7,1.142857143,0,2.563671143,0,0,0.285714286,8,0.714285714
b,first_visit,2025041914,11,11,1,0,0,0,0,0.454545455,0,0.545454545
b,session_start,2025041914,11,11,1,0,0,0,0,0.454545455,0,0.545454545
b,page_view,2025042003,13,7,1.857142857,0,11.88143943,0,0,0.142857143,13,0.857142857
b,user_engagement,2025042003,12,6,2,130.6666667,543.9256073,0,0,0.166666667,0,0.833333333
b,first_visit,2025041908,4,4,1,0,0,0,0,0.5,0,0.5
b,scroll,2025041914,3,2,1.5,2.5,9.6458025,0,2,0,0,1
b,session_start,2025041908,4,4,1,0,0,0,0,0.5,0,0.5
b,page_view,2025041909,3,3,1,0,4.656869,0,0,0,3,1
b,page_view,2025041912,0,0,0,0,0,0,0,0,0,0
b,scroll,2025041915,8,5,1.6,7,14.8654702,0,5,0,0,1
b,session_start,2025042003,6,6,1,0,0,0,0,0,0,1
b,first_visit,2025042003,6,6,1,0,0,0,0,0,0,1
b,page_view,2025042121,2,2,1,0,0,0,0,0,2,1
b,first_visit,2025041907,4,4,1,0,0,0,0,0.75,0,0.25
b,page_view,2025041911,7,6,1.166666667,0,121.5676448,0,0,0.666666667,7,0.333333333
b,page_view,2025042002,2,2,1,0,0,0,0,0,2,1
b,scroll,2025042003,7,6,1.166666667,44.66666667,29.10548367,0,6,0.166666667,0,0.833333333
b,session_start,2025041907,4,4,1,0,0,0,0,0.75,0,0.25
b,session_start,2025042002,2,2,1,0,0,0,0,0,0,1
b,first_visit,2025042002,2,2,1,0,0,0,0,0,0,1
b,page_view,2025041910,1,1,1,0,5.208296,0,0,0,1,1
b,page_view,2025041919,2,2,1,0,0,0,0,1,2,0
b,page_view,2025041922,6,5,1.2,0,1.0110572,0,0,0.8,6,0.2
b,scroll,2025041907,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042000,2,2,1,0,0,0,0,1,0,0
b,session_start,2025042121,2,2,1,0,0,0,0,0,0,1
b,first_visit,2025041911,5,5,1,0,0,0,0,0.8,0,0.2
b,first_visit,2025042000,2,2,1,0,0,0,0,1,0,0
b,page_view,2025041918,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042000,2,2,1,0,0,0,0,1,2,0
b,session_start,2025041911,5,5,1,0,0,0,0,0.8,0,0.2
b,session_start,2025041918,1,1,1,0,0,0,0,1,0,0
b,session_start,2025041922,5,5,1,0,0,0,0,0.8,0,0.2
b,user_engagement,2025042121,2,2,1,30,371.717303,0,0,0,0,1
b,first_visit,2025041909,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025041910,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041916,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025041918,1,1,1,0,0,0,0,1,0,0
b,first_visit,2025041922,4,4,1,0,0,0,0,0.75,0,0.25
b,first_visit,2025042121,1,1,1,0,0,0,0,0,0,1
