Event name,Event count,Total users,Event count per active user,Bounce rate,Average engagement time per session,Average session duration,Engagement rate,Engaged sessions per active user,Events per session,Engaged sessions,Sessions per active user,Views per active user
page_view,263,115,2.307017544,0.481751825,0,53.80038629,0.518248175,0.622807018,1.919708029,71,1.201754386,2.307017544
user_engagement,164,61,2.779661017,0.184210526,43.40789474,275.3415392,0.815789474,1.050847458,2.157894737,62,1.288135593,0
session_start,141,115,1.247787611,0.496453901,0,0,0.503546099,0.628318584,1,71,1.247787611,0
first_visit,118,114,1.053571429,0.5,0,0,0.5,0.526785714,1,59,1.053571429,0
scroll,52,32,1.625,0.114285714,17.91428571,42.95956906,0.885714286,0.96875,1.485714286,31,1.09375,0
submit_feedback,43,6,7.166666667,0.166666667,17.33333333,417.0300173,0.833333333,0.833333333,7.166666667,5,1,0
click,1,1,1,0,40,127.552674,1,1,1,1,1,0
