Version,Active users,New users,Average engagement time per active user,Bounce rate,Average session duration,Event count,Event value,Engagement rate
a,62,61,25.19354839,0.46835443,253.888132,443,146,0.53164557
b,68,59,36.88235294,0.41025641,162.6801489,348,9,0.58974359
