Event name,Event count,Total users,Event count per active user,Bounce rate,Average engagement time per session,Average session duration,Engagement rate,Engaged sessions per active user,Events per session,Engaged sessions,Sessions per active user,Views per active user
page_view,113,67,1.712121212,0.421052632,0,22.71892361,0.578947368,0.666666667,1.486842105,44,1.151515152,1.712121212
user_engagement,70,36,1.944444444,0.170731707,48.04878049,209.5540064,0.829268293,0.944444444,1.707317073,34,1.138888889,0
session_start,67,58,1.175438596,0.47761194,0,0,0.52238806,0.614035088,1,35,1.175438596,0
first_visit,58,57,1.035714286,0.465517241,0,0,0.534482759,0.553571429,1,31,1.035714286,0
scroll,33,26,1.269230769,0.076923077,18.38461538,46.72456169,0.923076923,0.923076923,1.269230769,24,1,0
submit_feedback,3,2,1.5,0,10,503.022757,1,1,1.5,2,1,0
click,1,1,1,0,40,127.552674,1,1,1,1,1,0
